particle,particle_symbol,theory_E,E_min,E_mean,E_max,delta_i,counts,delta_i_percent,i4,i3,i2,i1,i0,i_minus_1,C
Rho +-,"$u\overline{u},\overline{d}d$",1506,1505.0,1505.0,1505.0,-31,65910,0.04703,1.0,0.0,-2.0,-3.0,-3.0,-3.0,-1.0
Rho +-,"$u\overline{u},\overline{d}d$",1506,1505.0,1506.0,1506.0,64,10985,0.58261,1.0,0.0,-1.5,-1.5,2.0,-2.5,0.0
Rho +-,"$u\overline{u},\overline{d}d$",1506,1505.0,1506.0,1506.0,609,10985,5.54392,1.0,0.0,-1.0,2.5,-0.5,2.0,-1.0
Rho +-,"$u\overline{u},\overline{d}d$",1506,1505.0,1505.0,1506.0,22,10985,0.20027,1.0,-0.5,1.5,-2.0,-3.0,-2.5,1.0
Rho +-,"$u\overline{u},\overline{d}d$",1506,1505.0,1506.0,1506.0,-1431,65910,2.17114,1.0,-0.5,2.0,1.0,-2.5,3.0,1.0
Rho 0,$u\overline{u}-\overline{d}d$,1517.14,1516.66,1517.14,1517.61,1482,10985,13.49112,1.0,0.0,-1.5,-2.0,-2.5,2.5,-1.0
Rho 0,$u\overline{u}-\overline{d}d$,1517.14,1516.65,1517.14,1517.62,-562,10985,5.11607,1.0,0.0,-1.0,0.5,-2.0,2.5,0.0
Rho 0,$u\overline{u}-\overline{d}d$,1517.14,1516.67,1517.15,1517.62,85,10985,0.77378,1.0,0.0,-0.5,3.0,1.5,-3.0,0.5
Rho 0,$u\overline{u}-\overline{d}d$,1517.14,1516.65,1517.14,1517.62,-380,65910,0.57654,1.0,-0.5,2.0,-0.5,2.5,-1.5,-1.0
Omega,$u\overline{u}+\overline{d}d$,1531.62,1531.37,1531.61,1531.86,-94,10985,0.85571,1.0,0.0,-1.0,-2.0,-1.5,0.5,0.5
Omega,$u\overline{u}+\overline{d}d$,1531.62,1531.37,1531.61,1531.86,-2180,10985,19.84524,1.0,0.0,-0.5,0.5,1.0,1.5,1.0
Omega,$u\overline{u}+\overline{d}d$,1531.62,1531.37,1531.62,1531.86,-293,65910,0.44455,1.0,-0.5,2.0,-2.5,-2.5,-3.0,0.0
K* +-,"$d\overline{s},s\overline{d}$",1745.2,1745.1,1745.2,1745.2,-1417,65910,2.1499,1.0,1.0,-2.0,-3.0,0.0,-0.5,0.5
K* +-,"$d\overline{s},s\overline{d}$",1745.2,1745.1,1745.1,1745.2,253,10985,2.30314,1.0,1.0,-1.5,0.5,-2.0,-2.5,1.0
K* +-,"$d\overline{s},s\overline{d}$",1745.2,1745.1,1745.1,1745.2,65493,10985,596.20391,1.0,1.0,-1.0,3.0,2.5,1.0,0.0
K* +-,"$d\overline{s},s\overline{d}$",1745.2,1745.1,1745.1,1745.2,-459,10985,4.17843,1.0,0.5,1.5,-1.0,0.5,-3.0,1.0
K* +-,"$d\overline{s},s\overline{d}$",1745.2,1745.1,1745.1,1745.2,1179,65910,1.7888,1.0,0.5,2.0,3.0,-2.5,-2.0,0.0
K* +-,"$d\overline{s},s\overline{d}$",1745.2,1745.1,1745.1,1745.2,1074,65910,1.62949,1.5,-2.0,-2.0,3.0,1.5,-1.5,-0.5
K* 0,"$d\overline{s},s\overline{d}$",1752.6,1752.5,1752.6,1752.6,-198,65910,0.30041,1.0,1.0,-2.0,-3.0,-2.5,-2.5,-0.5
K* 0,"$d\overline{s},s\overline{d}$",1752.6,1752.5,1752.6,1752.6,113,10985,1.02868,1.0,1.0,-1.5,-0.5,-2.5,0.5,0.0
K* 0,"$d\overline{s},s\overline{d}$",1752.6,1752.5,1752.6,1752.6,106,10985,0.96495,1.0,1.0,-1.0,3.0,-2.0,-1.5,-0.5
K* 0,"$d\overline{s},s\overline{d}$",1752.6,1752.5,1752.6,1752.6,-787,10985,7.16431,1.0,0.5,1.5,-2.0,-1.0,1.5,1.0
K* 0,"$d\overline{s},s\overline{d}$",1752.6,1752.5,1752.5,1752.6,-847,65910,1.28509,1.0,0.5,2.0,1.5,-2.0,2.5,0.5
K* 0,"$d\overline{s},s\overline{d}$",1752.6,1752.5,1752.5,1752.6,511,65910,0.7753,1.5,-2.0,-2.0,2.5,-1.0,-1.5,-1.0
Proton,uud,1836.152673426,1836.152673408,1836.152673408,1836.152673408,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,1.0
H,H,1837.47,1837.18,1837.42,1837.66,406,65910,0.61599,1.0,1.5,-2.0,2.5,2.0,-2.5,-0.5
H,H,1837.47,1837.18,1837.42,1837.66,-208,10985,1.89349,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0
H,H,1837.47,1837.18,1837.42,1837.66,1577,10985,14.35594,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0
H,H,1837.47,1837.18,1837.42,1837.66,-586,10985,5.33455,1.5,-2.0,-0.5,-2.5,-2.0,-1.5,1.0
H,H,1837.47,1837.18,1837.42,1837.66,-718,65910,1.08936,1.5,-2.0,0.0,0.5,2.5,0.5,-0.5
H,H,1837.47,1837.2,1837.43,1837.66,-34,10985,0.30951,1.5,-2.0,0.5,3.0,2.5,-1.0,1.0
Neutron,udd,1838.68366200,1838.68366244,1838.68366244,1838.68366244,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.22,1874.32,1874.42,-119,65910,0.18055,1.0,1.5,-2.0,-3.0,-3.0,1.0,-0.5
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.21,1874.31,1874.42,-926,10985,8.42968,1.0,1.5,-1.5,-1.0,2.0,0.0,0.5
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.21,1874.32,1874.42,51,10985,0.46427,1.0,1.5,-1.0,2.5,-0.5,0.5,0.5
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.21,1874.32,1874.42,854,10985,7.77424,1.0,1.0,1.5,-0.5,-2.0,-0.5,-1.0
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.21,1874.31,1874.42,744,65910,1.12881,1.0,1.0,2.0,2.0,-1.5,1.0,0.0
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.21,1874.31,1874.42,1864,65910,2.8281,1.5,-1.5,-2.0,2.5,-2.0,0.5,-0.5
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.21,1874.31,1874.42,-315,10985,2.86755,1.5,-2.0,0.5,-2.5,2.5,1.5,0.0
Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1874.21,1874.32,1874.42,-787,10985,7.16431,1.5,-2.0,1.0,1.0,0.0,-3.0,0.5
Phi,$s\overline{s}(most)$,1995.035,1995.008,1995.032,1995.056,-394,65910,0.59778,1.0,2.0,-2.0,-3.0,2.0,-1.0,-0.5
